HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,HC,AC
Huesca,Alaves,1,0,11,3,3,1,5,2
Real Madrid,Ath Madrid,2,0,11,5,3,1,3,6
Sociedad,Eibar,1,1,8,16,2,4,5,4
Betis,Villarreal,1,1,11,7,5,2,4,8
Elche,Granada,0,1,9,13,1,5,6,5
Barcelona,Levante,1,0,24,7,13,3,12,4
Celta,Cadiz,4,0,8,12,5,2,1,5
Real Madrid,Ath Bilbao,3,1,18,10,5,4,6,6
Barcelona,Sociedad,2,1,14,12,4,5,2,3
Ath Bilbao,Huesca,2,0,10,6,3,1,5,5
Ath Madrid,Elche,3,1,12,8,6,3,2,5
Barcelona,Valencia,2,2,25,12,9,4,8,3
Levante,Sociedad,2,1,13,15,5,5,3,4
Osasuna,Villarreal,1,3,6,13,1,6,2,2
Sevilla,Valladolid,1,1,14,12,3,5,7,7
Celta,Alaves,2,0,11,8,3,2,3,5
Granada,Betis,2,0,8,14,3,1,1,10
Cadiz,Getafe,0,2,8,6,1,4,2,4
Eibar,Real Madrid,1,3,10,11,3,5,4,4
Elche,Osasuna,2,2,7,15,2,6,4,4
Valencia,Sevilla,0,1,10,19,4,3,3,5
Huesca,Levante,1,1,11,9,2,1,10,3
Sociedad,Ath Madrid,0,2,6,8,1,3,5,5
Valladolid,Barcelona,0,3,12,21,5,10,4,5
Villarreal,Ath Bilbao,1,1,17,9,6,3,6,4
Getafe,Celta,1,1,6,2,3,1,1,4
Real Madrid,Granada,2,0,23,10,6,1,8,1
Alaves,Eibar,2,1,13,8,3,4,2,7
Betis,Cadiz,1,0,6,6,1,3,5,5
Sevilla,Villarreal,2,0,10,6,3,2,4,7
Barcelona,Eibar,1,1,16,9,5,3,5,7
Cadiz,Valladolid,0,0,8,7,3,1,1,6
Levante,Betis,4,3,10,19,5,7,3,6
Granada,Valencia,2,1,24,16,5,6,6,6
Ath Madrid,Getafe,1,0,10,10,3,2,5,2
Celta,Huesca,2,1,15,17,6,6,0,5
Elche,Real Madrid,1,1,6,14,3,6,2,3
Ath Bilbao,Sociedad,0,1,4,13,0,3,2,4
Osasuna,Alaves,1,1,8,15,3,1,5,4
Villarreal,Levante,2,1,12,9,7,2,3,5
Betis,Sevilla,1,1,16,6,3,2,2,1
Getafe,Valladolid,0,1,11,8,4,2,5,9
Real Madrid,Celta,2,0,9,6,2,1,1,5
Ath Bilbao,Elche,1,0,13,5,2,2,5,4
Alaves,Ath Madrid,1,2,4,8,1,4,1,5
Eibar,Granada,2,0,15,6,7,3,4,2
Sociedad,Osasuna,1,1,8,6,2,2,7,2
Huesca,Barcelona,0,1,4,20,4,7,2,6
Valencia,Cadiz,1,1,11,9,4,2,9,7
Ath Bilbao,Barcelona,2,3,8,13,3,9,3,4
Celta,Villarreal,0,4,8,15,3,6,3,4
Sevilla,Sociedad,3,2,12,10,7,4,2,9
Granada,Barcelona,0,4,8,13,4,4,4,1
Osasuna,Real Madrid,0,0,8,9,2,1,2,4
Levante,Eibar,2,1,4,17,2,4,4,9
Cadiz,Alaves,3,1,10,5,7,2,4,1
Valladolid,Valencia,0,1,11,17,4,6,0,4
Elche,Getafe,1,3,7,14,4,7,1,7
Huesca,Betis,0,2,10,15,3,5,3,6
Granada,Osasuna,2,0,9,15,2,3,4,4
Ath Madrid,Sevilla,2,0,5,13,4,2,3,12
Cadiz,Levante,2,2,8,8,2,5,5,2
Valladolid,Elche,2,2,13,9,2,3,4,5
Alaves,Sevilla,1,2,12,7,3,3,3,2
Getafe,Huesca,1,0,12,15,5,3,3,8
Betis,Celta,2,1,12,10,4,3,5,6
Villarreal,Granada,2,2,9,3,3,2,3,0
Valencia,Osasuna,1,1,10,14,3,5,9,4
Eibar,Ath Madrid,1,2,12,9,2,4,3,3
Levante,Valladolid,2,2,11,7,3,3,8,2
Huesca,Villarreal,0,0,5,8,1,2,1,2
Sevilla,Cadiz,3,0,15,9,7,3,7,6
Sociedad,Betis,2,2,12,7,6,4,8,3
Alaves,Real Madrid,1,4,14,10,4,7,4,4
Osasuna,Granada,3,1,7,12,4,1,1,5
Elche,Barcelona,0,2,4,15,2,8,0,7
Celta,Eibar,1,1,7,9,4,2,0,6
Ath Madrid,Valencia,3,1,14,8,5,4,7,7
Ath Bilbao,Getafe,5,1,11,6,8,2,4,4
Valladolid,Huesca,1,3,14,11,4,5,6,7
Eibar,Sevilla,0,2,17,7,6,4,6,2
Real Madrid,Levante,1,2,8,14,2,8,3,7
Valencia,Elche,1,0,14,10,4,1,4,10
Villarreal,Sociedad,1,1,4,12,2,3,1,7
Getafe,Alaves,0,0,5,5,1,1,5,2
Cadiz,Ath Madrid,2,4,11,9,6,4,2,2
Granada,Celta,0,0,10,7,5,1,6,5
Barcelona,Ath Bilbao,2,1,12,7,6,2,7,3
Betis,Osasuna,1,0,8,15,4,5,3,4
Alaves,Valladolid,1,0,20,3,5,1,11,1
Levante,Granada,2,2,11,11,7,5,6,2
Huesca,Real Madrid,1,2,13,18,2,7,3,10
Elche,Villarreal,2,2,8,9,2,4,4,2
Sevilla,Getafe,3,0,17,5,5,1,3,1
Sociedad,Cadiz,4,1,17,2,6,1,5,1
Ath Bilbao,Valencia,1,1,11,15,2,2,6,6
Osasuna,Eibar,2,1,12,12,4,3,2,1
Betis,Barcelona,2,3,8,12,5,4,3,5
Ath Madrid,Celta,2,2,9,7,2,2,1,4
Real Madrid,Getafe,2,0,14,1,4,0,8,1
Celta,Elche,3,1,9,7,6,2,3,6
Granada,Ath Madrid,1,2,6,10,1,4,7,3
Sevilla,Huesca,1,0,14,9,4,5,6,6
Eibar,Valladolid,1,1,14,5,2,1,7,3
Barcelona,Alaves,5,1,17,6,9,2,5,4
Getafe,Sociedad,0,1,4,3,0,2,2,5
Real Madrid,Valencia,2,0,16,4,7,1,6,1
Levante,Osasuna,0,1,13,7,4,2,2,1
Villarreal,Betis,1,2,9,15,5,4,7,3
Cadiz,Ath Bilbao,0,4,11,13,2,8,5,8
Levante,Ath Madrid,1,1,7,14,4,6,1,8
Betis,Getafe,1,0,12,6,5,1,5,2
Elche,Eibar,1,0,6,13,2,3,1,4
Ath Madrid,Levante,0,2,28,6,11,1,12,2
Valencia,Celta,2,0,10,5,3,2,6,1
Valladolid,Real Madrid,0,1,9,10,5,2,4,5
Barcelona,Cadiz,1,1,20,3,4,1,8,0
Sociedad,Alaves,4,0,8,7,4,2,4,3
Huesca,Granada,3,2,15,8,6,5,5,2
Ath Bilbao,Villarreal,1,1,18,3,8,2,6,0
Osasuna,Sevilla,0,2,6,10,0,5,3,5
Barcelona,Elche,3,0,9,6,5,1,6,3
Levante,Ath Bilbao,1,1,10,11,4,5,2,10
Eibar,Huesca,1,1,17,4,3,1,6,2
Sevilla,Barcelona,0,2,4,9,2,5,3,3
Alaves,Osasuna,0,1,4,6,1,3,5,2
Getafe,Valencia,3,0,15,5,4,0,3,6
Celta,Valladolid,1,1,11,7,2,3,3,5
Cadiz,Betis,0,1,5,9,3,4,3,7
Granada,Elche,2,1,13,12,4,4,5,5
Villarreal,Ath Madrid,0,2,19,6,6,5,10,2
Real Madrid,Sociedad,1,1,21,6,2,2,13,4
Valencia,Villarreal,2,1,25,10,4,5,5,3
Valladolid,Getafe,2,1,4,9,3,2,1,6
Elche,Sevilla,2,1,6,11,3,3,6,3
Cadiz,Eibar,1,0,6,16,2,1,0,12
Osasuna,Barcelona,0,2,10,13,3,6,3,4
Huesca,Celta,3,4,19,10,7,7,6,3
Ath Madrid,Real Madrid,1,1,11,18,5,8,1,6
Sociedad,Levante,1,0,25,6,8,1,7,5
Ath Bilbao,Granada,2,1,7,13,5,3,6,9
Betis,Alaves,3,2,23,4,8,3,12,1
Ath Madrid,Ath Bilbao,2,1,11,4,5,2,5,4
Levante,Valencia,1,0,11,11,3,2,3,3
Alaves,Cadiz,1,1,9,9,3,1,2,5
Real Madrid,Elche,2,1,17,3,4,2,6,1
Osasuna,Valladolid,0,0,14,12,2,2,7,3
Getafe,Ath Madrid,0,0,11,15,2,7,3,11
Celta,Ath Bilbao,0,0,13,6,3,1,1,3
Granada,Sociedad,1,0,7,7,2,1,4,6
Eibar,Villarreal,1,3,16,13,7,8,7,2
Sevilla,Betis,1,0,9,13,3,3,3,6
Barcelona,Huesca,4,1,12,8,5,4,7,3
Sevilla,Elche,2,0,13,11,8,5,4,1
